f1.x., f2.x., f3.x.
0.000000e+000, 0.000000e+000, 3.000000e+000
0.000000e+000, 1.000000e-002, 2.989059e+000
0.000000e+000, 2.000000e-002, 2.976252e+000
0.000000e+000, 3.000000e-002, 2.961630e+000
0.000000e+000, 4.000000e-002, 2.945275e+000
0.000000e+000, 5.000000e-002, 2.927300e+000
0.000000e+000, 6.000000e-002, 2.907850e+000
0.000000e+000, 7.000000e-002, 2.887097e+000
0.000000e+000, 8.000000e-002, 2.865236e+000
0.000000e+000, 9.000000e-002, 2.842490e+000
0.000000e+000, 1.000000e-001, 2.819098e+000
0.000000e+000, 1.100000e-001, 2.795318e+000
0.000000e+000, 1.200000e-001, 2.771421e+000
0.000000e+000, 1.300000e-001, 2.747686e+000
0.000000e+000, 1.400000e-001, 2.724398e+000
0.000000e+000, 1.500000e-001, 2.701847e+000
0.000000e+000, 1.600000e-001, 2.680316e+000
0.000000e+000, 1.700000e-001, 2.660084e+000
0.000000e+000, 1.800000e-001, 2.641419e+000
0.000000e+000, 1.900000e-001, 2.624576e+000
0.000000e+000, 2.000000e-001, 2.609789e+000
0.000000e+000, 2.100000e-001, 2.597272e+000
0.000000e+000, 2.200000e-001, 2.587213e+000
0.000000e+000, 2.300000e-001, 2.579771e+000
0.000000e+000, 2.400000e-001, 2.575077e+000
0.000000e+000, 2.500000e-001, 2.573223e+000
0.000000e+000, 6.400000e-001, 2.519162e+000
0.000000e+000, 6.500000e-001, 2.451682e+000
0.000000e+000, 6.600000e-001, 2.381442e+000
0.000000e+000, 6.700000e-001, 2.308955e+000
0.000000e+000, 6.800000e-001, 2.234773e+000
0.000000e+000, 6.900000e-001, 2.159481e+000
0.000000e+000, 7.000000e-001, 2.083688e+000
0.000000e+000, 7.100000e-001, 2.008025e+000
0.000000e+000, 7.200000e-001, 1.933137e+000
0.000000e+000, 7.300000e-001, 1.859679e+000
0.000000e+000, 7.400000e-001, 1.788306e+000
0.000000e+000, 7.500000e-001, 1.719670e+000
0.000000e+000, 7.600000e-001, 1.654410e+000
0.000000e+000, 7.700000e-001, 1.593148e+000
0.000000e+000, 7.800000e-001, 1.536481e+000
0.000000e+000, 7.900000e-001, 1.484974e+000
0.000000e+000, 8.000000e-001, 1.439155e+000
0.000000e+000, 8.100000e-001, 1.399507e+000
0.000000e+000, 8.200000e-001, 1.366466e+000
0.000000e+000, 8.300000e-001, 1.340410e+000
0.000000e+000, 8.400000e-001, 1.321658e+000
0.000000e+000, 8.500000e-001, 1.310465e+000
0.000000e+000, 8.600000e-001, 1.307018e+000
1.000000e-002, 0.000000e+000, 2.989059e+000
1.000000e-002, 1.000000e-002, 2.978118e+000
1.000000e-002, 2.000000e-002, 2.965311e+000
1.000000e-002, 3.000000e-002, 2.950689e+000
1.000000e-002, 4.000000e-002, 2.934334e+000
1.000000e-002, 5.000000e-002, 2.916359e+000
1.000000e-002, 6.000000e-002, 2.896909e+000
1.000000e-002, 7.000000e-002, 2.876155e+000
1.000000e-002, 8.000000e-002, 2.854295e+000
1.000000e-002, 9.000000e-002, 2.831549e+000
1.000000e-002, 1.000000e-001, 2.808157e+000
1.000000e-002, 1.100000e-001, 2.784377e+000
1.000000e-002, 1.200000e-001, 2.760480e+000
1.000000e-002, 1.300000e-001, 2.736744e+000
1.000000e-002, 1.400000e-001, 2.713457e+000
1.000000e-002, 1.500000e-001, 2.690906e+000
1.000000e-002, 1.600000e-001, 2.669375e+000
1.000000e-002, 1.700000e-001, 2.649143e+000
1.000000e-002, 1.800000e-001, 2.630478e+000
